STOCK_EXCHANGE,STOCK_SYMBOL,INTERVEL ,NO OF  DAYS,STOCK NAME
NSE,LAKSHMIEFL,86400,4000,Lakshmi Energy and Foods Limited
NSE,TIMKEN,86400,4000,Timken India Limited
NSE,IZMO,86400,4000,IZMO Limited
NSE,MINDAIND,86400,4000,Minda Industries Limited
NSE,NETWORK18,86400,4000,Network18 Media & Investments Limited
NSE,PITTILAM,86400,4000,Pitti Laminations Limited
NSE,GANDHITUBE,86400,4000,Gandhi Special Tubes Limited
NSE,AUTOIND,86400,4000,Autoline Industries Limited
NSE,SAGCEM,86400,4000,Sagar Cements Limited
NSE,SIYSIL,86400,4000,Siyaram Silk Mills Limited
NSE,BILPOWER,86400,4000,Bilpower  Limited
NSE,IGPL,86400,4000,IG Petrochemicals Limited
NSE,WANBURY,86400,4000,Wanbury Limited
NSE,PTL,86400,4000,PTL Enterprises Limited
NSE,SANGHVIMOV,86400,4000,Sanghvi Movers Limited
NSE,SARLAPOLY,86400,4000,Sarla Performance Fibers Limited
NSE,GEMINI,86400,4000,Gemini Communication Limited
NSE,LUMAXTECH,86400,4000,Lumax Auto Technologies Limited
